,feature_name,"Adware
","Backdoor
","Downloader
","Dropper
","Spyware
","Trojan
",Virus,"Virus
","Worms
"
24,25,128.38203856440387,703.403250439999,187.35690769480937,247.29365669542943,230.25503149679437,197.1130742543583,0.0020779848900628318,390.5306266792137,332.7574177216107
12,13,998.174300475366,327.0473948966398,216.57429113736836,74.38091837547354,234.33308656770853,201.04489820462436,0.00040911723037335214,311.12127001907675,81.4439613517797
71,72,436.0520484234654,274.4717192117603,202.12728965509066,280.038333183467,202.72914962052792,373.62616049967204,0.0008872509774585286,585.7014775329461,99.06491759335054
85,86,508.56474134703456,81.27372902788429,65.12418241571308,466.70369092988966,108.60400560084288,397.11098049269907,336.4152233934078,240.64773882340936,252.47719652261668
65,66,830.0603960689981,370.0862783336864,175.69035073911382,116.94450319741108,74.14252572586221,401.55150066200065,197.14442052006265,125.18909563685955,177.75157675165997
83,84,156.5658134741153,219.13236502883223,417.8435903880537,989.4846764565564,344.6278737804027,124.79416385714156,0.00021752140333120652,70.31688059058999,178.86737718072456
37,38,572.7940168721937,458.84605338022715,244.06785934462107,114.62613065138831,155.86260932416053,477.18944837327047,0.0008476773274330615,153.2643852962735,392.9406740467544
51,52,197.975783035953,600.7122019657473,384.5245297234671,601.6343454907814,288.9502687255923,93.82402362327409,8.22939205431953,78.17004074847335,319.95699434515114
74,75,521.4354391671068,268.7680538986401,575.5377559868037,421.25004873186657,205.85200428169463,96.37477019533912,0.0007390088723808763,289.4174673577505,195.59950341569544
91,92,406.2862919347306,362.1638069744679,254.38072257711153,100.18190312877068,556.6291387608136,101.7901484085092,0.003447857843420095,205.63394478010014,681.5892210193762
73,74,83.17020583666074,797.9297631526362,336.16496809182377,187.70742553838187,91.55482701004675,123.20662910107063,187.28768187515757,616.7402814605864,259.56106678680607
62,63,355.298693169454,272.412789571897,413.978154944387,129.27961602318578,554.9514329596564,298.1653768329702,0.00027922241434812545,258.5338973316135,406.11973195138137
28,29,175.42501228895543,104.2010225641449,286.73044554772486,652.2848492482118,459.4317560941422,87.22668164222424,0.0005486159993996159,138.8962673439951,799.9221373048312
33,34,102.0860337273665,36.40451779597282,194.19429998690558,453.612365381169,203.62038454245965,89.92796596299985,492.1398531148678,1039.7957639326871,140.81024037950127
60,61,794.6528683827937,97.2625156925497,411.43770932325737,794.0705415820228,186.94597385158414,273.1939522900333,0.0008521046061896705,45.00110950907352,178.5178360862568
19,20,646.9868699116513,205.00528359046004,92.89378632077451,172.2336009284455,808.406041332478,291.07698411578986,0.000902070178340445,78.36216343615916,487.95220954302874
42,43,873.047398540457,173.6815219821522,570.4899909806787,332.3445600609874,546.580051866952,84.25309248349039,0.0007164863967409264,109.89537768008714,111.9219761611411
